x,A,Aerr,Nplus,Nminus
-1.3,0.0005269397971,0.008115876807,7595,7587
-1.22,-0.0006163961373,0.008275773902,7296,7305
-1.14,-0.0008595988539,0.008463638986,6974,6986
-1.06,-0.005104338688,0.008663824127,6627,6695
-0.98,-0.006170886076,0.008894431483,6281,6359
-0.9,-0.004037005887,0.009170764343,5921,5969
-0.82,-0.003782420749,0.00948980234,5531,5573
-0.74,0.0004881382407,0.009880669253,5124,5119
-0.66,-0.002878157979,0.01032460947,4677,4704
-0.58,-0.00367429181,0.01088687017,4203,4234
-0.5,-0.002784776555,0.01151552773,3760,3781
-0.42,-0.005344418052,0.01218408046,3350,3386
-0.34,-0.01255940258,0.01302669892,2909,2983
-0.26,-0.01259346714,0.01402646487,2509,2573
-0.18,-0.02592592593,0.01520940138,2104,2216
-0.1,-0.03914002205,0.01658950581,1743,1885
-0.02,-0.04333221364,0.01831059539,1424,1553
0.06,-0.04579517069,0.02038250791,1146,1256
0.14,-0.02036441586,0.02314483604,914,952
0.22,-0.02538787024,0.02654739297,691,727
0.3,-0.02277432712,0.03216612756,472,494
