width,A,Aerr,Nplus,Nminus
0.1,0,0.05679618342,155,155
0.2625,0.003550295858,0.034400829,424,421
0.425,0.01772525849,0.02717205173,689,665
0.5875,0.01834352418,0.02357280911,916,883
0.75,0.01999111506,0.02107295566,1148,1103
0.9125,0.007700770077,0.01914893185,1374,1353
1.075,0.004688965302,0.01768023795,1607,1592
1.2375,0.01044529962,0.01657848954,1838,1800
1.4,0.003414634146,0.01561728514,2057,2043
1.5625,0.01128069011,0.01487151152,2286,2235
1.725,0.009945199919,0.01424581304,2488,2439
1.8875,0.01020976425,0.01362397618,2721,2666
2.05,0.003641408011,0.01316807056,2894,2873
2.2125,0.002772793998,0.01277122842,3074,3057
2.375,0.001236476043,0.01243218682,3239,3231
2.5375,-0.0007338910906,0.01211520281,3404,3409
2.7,-0.002672668448,0.01186025951,3545,3564
2.8625,-0.003540305011,0.01166892757,3659,3685
3.025,-0.002784776555,0.01151552773,3760,3781
3.1875,-0.002784776555,0.01151552773,3760,3781
3.35,-0.002784776555,0.01151552773,3760,3781
3.5125,-0.002784776555,0.01151552773,3760,3781
3.675,-0.002784776555,0.01151552773,3760,3781
3.8375,-0.002784776555,0.01151552773,3760,3781
4,-0.002784776555,0.01151552773,3760,3781
